C9,C10,C9p,C10p
-1.088611,0.5093236,0.1393573,-0.1991616
0.001580326,0.01329583,0.149777,-0.1032275
-0.4293887,0.02038342,0.1096924,0.1607436
-0.3388923,0.471765,0.1476836,0.2123003
-0.7237326,0.06847357,0.2370928,-0.01920188
-0.6562163,0.2748704,0.2150385,0.1715543
-0.2214439,0.1649191,0.05778907,-0.248575
-0.153917,0.4118981,-0.07177115,-0.2326515
-0.7060157,0.4907612,0.04451578,-0.03203219
-0.6120756,0.02693258,0.2991789,0.0197996
-0.2038287,0.1151198,0.2887305,-0.1052754
-0.8838055,0.3619979,-0.07889229,-0.08058321
-1.169296,0.3689793,0.0963538,0.01193962
-0.9471147,0.1208809,-0.04679157,0.1762965
-1.041531,0.2483986,0.1876969,0.09005354
-0.163951,0.3608397,-0.04636676,0.1537501
-0.8855824,0.3200821,0.1456638,0.1643573
-0.1418275,-0.03019315,0.2751576,-0.164895
0.1097747,0.4369971,0.2563211,-0.1756111
-0.2636243,0.1734479,-0.09364615,0.1304235
-0.06701861,0.05160764,0.2114298,0.05764071
-0.9515404,-0.09257811,0.1026939,0.2461943
-1.048507,0.01527793,0.2037714,0.1579162
0.129371,0.02833685,0.4132497,0.04680308
-1.147804,0.09928776,-0.1492557,0.04910702
-1.124295,0.4840425,0.3695661,-0.01214125
-1.141903,-0.03856039,0.2460348,-0.2304106
-0.6217834,0.2232601,-0.08102826,0.1289696
-0.3288089,0.3681044,-0.01442936,-0.1930324
-0.07560703,-0.04632838,0.1681253,-0.01792704
-0.7262481,0.3703337,0.2552259,0.1109837
-0.3808269,0.5099314,-0.1042865,-0.1826833
-0.4752456,0.3583536,0.1603758,-0.02753188
-0.3126143,-0.04985927,-0.0569833,-0.1872298
-0.6658375,0.2151376,0.3523871,0.1159456
-0.3778458,0.4954249,-0.08394549,0.1632162
-0.1003704,0.5461938,0.1547966,0.2097471
-1.203077,0.5155389,-0.1428652,0.0528035
-0.1998061,-0.1291099,0.2447043,-0.03204642
-0.1585121,0.1475953,0.342052,0.02370843
-0.08053114,0.5303639,-0.1073619,-0.142014
-0.4260309,0.01762219,0.3826306,-0.2084851
-0.592774,0.3316737,0.361062,0.1265983
-0.8794735,0.5442585,0.3957939,-0.1247299
0.05147331,0.4571158,-0.1021847,0.1380001
-0.0450165,-0.1333779,0.1514308,0.2352109
-0.6128515,0.05292777,-0.1391289,-0.03107363
-1.075001,0.3577662,0.2331719,-0.02504755
-0.9824664,0.3395204,0.2597618,-0.007811545
-1.001442,-0.01899621,0.04380448,0.06227554
-0.232518,0.5424372,0.4012939,-0.1397546
-0.6474124,-0.1337024,0.4161755,0.04088634
-0.02761001,0.4972794,0.01615858,-0.1801392
-0.5323111,0.2956072,0.3730424,0.1355791
-0.07162259,0.3146557,-0.1492507,0.0887576
-0.05001723,0.3275628,0.3872406,0.1480583
-0.06698151,0.3669098,-0.1277515,0.05098593
-0.618603,0.3184055,0.007045251,0.2033065
0.05323708,0.3243822,0.3540439,0.01714103
-0.1135089,0.4580463,0.1800281,0.1151918
-1.024441,0.05342167,0.3475397,0.2354212
-1.160367,0.0893195,0.1190394,-0.2157935
-0.5610655,0.1472513,-0.1325387,-0.2102603
-0.2984179,-0.06908,0.2752882,0.2408963
-1.084245,-0.07106757,0.03610041,-0.08170467
-1.24268,0.2796022,0.04214378,-0.07368511
0.04489707,0.3499627,0.3926743,-0.1662237
0.08098968,0.4403187,0.3521115,0.2198373
-0.348656,-0.1051502,0.1206323,0.2350958
-0.3898008,0.3895093,-0.0291333,0.004536736
-0.9941254,0.4535649,0.3144875,0.2326514
-1.178211,0.3481033,0.2493562,0.2464095
-0.2245449,0.05975559,-0.07324429,-0.02461939
-1.200436,0.4914309,0.1280132,0.1172438
0.01381685,0.5206661,0.2056225,-0.1599462
-0.5523089,-0.1229777,-0.1406886,0.08148784
-0.9077726,0.4991049,-0.003183909,0.04199106
-0.1722052,0.4135361,0.05097985,0.1698684
0.07659507,0.1280022,0.3196336,0.1767633
0.1259368,0.3151386,0.3706222,-0.002962392
-0.9540195,-0.02094629,0.3602176,0.2482041
-0.06058683,0.04137097,0.1780957,-0.1550668
-0.4499877,-0.1106226,-0.0634027,-0.08444065
-0.6435663,0.394646,0.01120574,0.1779961
-0.9224107,0.1872784,0.3524178,-0.1525276
-0.2425575,0.4387312,0.2371625,0.07591527
-1.190513,0.4311441,0.3515056,-0.1431868
-0.6772442,0.1426025,0.2046825,0.09641946
-0.6064087,0.2701807,-0.06801684,-0.05505916
-0.6731287,0.2873124,-0.09395686,0.09068918
0.000118286,0.2832558,0.09430492,-0.1152147
-0.1288845,0.4201987,0.3364288,-0.04380016
-0.6341174,0.3919425,0.3552915,-0.02696782
-0.3845343,-0.1116832,0.2588626,0.2212216
-0.4182766,0.07152346,-0.006333297,-0.1982562
-0.8819527,0.3457896,0.006726769,0.2267026
-0.245241,0.2764475,0.3051578,-0.07318395
-0.313166,0.07176776,0.04644503,-0.04159618
-1.086207,0.1252244,0.3844724,0.2256871
-1.152493,0.4846584,0.3372319,-0.01514415
-0.8771886,-0.1165218,-0.106651,0.2363853
-0.969509,0.3197415,0.3166934,-0.1785927
-0.1950487,0.2058766,0.0202087,0.1629374
-0.16834,-0.1055434,-0.05705866,0.04801417
-0.2142891,-0.1227262,0.2292,-0.1931593
-0.4242305,0.5118922,0.2453137,0.1620251
0.024436,0.1032941,-0.09947921,-0.1638103
-0.181437,0.2272133,0.268788,-0.1762573
-0.8421292,0.07049259,-0.0271887,-0.2332618
-0.7322899,0.4670368,0.1848084,0.0387772
-0.3463456,0.2813006,-0.02083641,-0.2148147
-0.5830046,0.4371734,-0.1182807,-0.2036088
-0.6709539,0.03609088,0.3832633,0.1774208
-0.7643526,0.06778052,0.3023249,0.1293513
-0.1069313,0.07104756,-0.07593614,-0.239679
-0.8776607,-0.08704676,-0.1269324,0.0527084
-0.1731273,0.07432906,0.2090501,0.1123878
-1.05056,0.1782769,0.04650053,0.1583889
-0.3627195,0.2390717,0.1556622,0.08456968
-0.6578186,0.1116735,0.4434155,0.1504833
-0.3094146,0.005402396,0.09621064,0.2465705
-1.027131,0.4114102,0.07751921,0.2432629
-0.4499953,0.2256454,-0.02647503,-0.1202208
-0.2133686,-0.01901852,0.06655577,0.05375858
-0.7989543,0.133041,0.1262752,0.04552048
-0.8062759,0.5151881,-0.09586623,0.01519978
-0.0515765,0.1594795,0.2201302,0.2066452
-0.449918,0.4613882,0.248743,0.08021232
-0.5903163,0.5492151,0.2122277,0.05172448
-1.088662,0.4673691,0.04908271,0.1976859
-1.063704,0.3921626,0.2435702,-0.006436584
0.03913833,0.4881407,-0.03222953,-0.1856801
-0.6943954,0.5159055,-0.1433318,0.000285955
-1.074932,0.5385738,0.1062418,-0.007985071
-1.039472,0.1253905,0.08872588,-0.09997223
-0.2429913,0.2502864,0.2652198,0.09486175
-1.149561,0.3158243,0.2427891,-0.1131906
-0.04244487,0.4585969,0.1238745,0.07602849
-1.234957,0.189589,-0.06604246,-0.08752379
0.1224671,0.3211188,-0.02019364,-0.01802058
-1.084645,0.2088358,0.09178734,0.1445374
0.01479371,-0.1343774,0.2821059,-0.07531404
-1.226557,-0.03468654,-0.1255002,0.02858926
-1.032725,0.09034258,0.2919449,0.2495168
-1.202082,-0.02491796,0.3415585,0.2013763
-0.6374349,0.1500858,0.204505,0.2008241
-0.1112486,0.3779454,-0.0638164,0.1921214
-0.8532669,0.02956334,0.1430248,0.03502355
0.008874214,-0.03252127,0.1404771,0.006908173
-0.3943748,0.1197018,0.288919,-0.1442844
-0.2160058,-0.1050412,0.4108827,-0.01926925
-1.045141,0.4365228,0.3691585,0.03683741
-0.4937969,0.007299342,0.3663001,-0.03632468
-0.6180881,-0.1381869,0.015384,0.1342827
0.02663432,0.1690256,0.3224268,-0.02922565
-0.3482343,-0.106273,0.3403716,-0.1957134
-0.9641411,-0.06729799,-0.08252964,-0.008122914
-0.7364278,0.08450282,-0.1402287,0.09042069
0.08561793,0.002962116,0.06560538,0.005827964
-0.621298,0.0434497,0.01520318,-0.03449232
-0.4355461,0.5449152,-0.1361954,-0.194232
-0.2833785,0.239615,0.1084896,0.2319453
-0.6252246,-0.03483645,0.340758,0.2385991
-1.178627,0.2464836,0.2669949,-0.1307352
-0.2467282,0.05732816,0.2762074,-0.02555234
-0.8091068,-0.1412816,0.008393305,-0.1240376
-0.8108301,-0.1327159,0.06065963,0.2102603
-0.1378246,0.1831761,0.03633264,-0.1140502
-1.218459,-0.1331394,0.2130715,-0.1862967
0.07024471,0.2283364,-0.08631464,0.1623778
0.1268038,0.1550133,0.3532584,0.0182616
-1.137934,-0.06512128,0.1515191,-0.08949431
-0.690171,0.01551731,0.2633439,0.2488272
-0.3554293,0.4358723,0.08823808,0.01149772
-0.5356186,0.1643081,0.2455444,-0.2356083
-1.041046,0.1806234,0.3657346,-0.1444309
-0.8296038,0.02942148,0.3628028,-0.1350214
0.1063627,0.1347634,-0.0262884,0.2204088
0.0657522,0.2608775,-0.1474457,-0.13464
-0.4917866,-0.06824734,0.0296554,0.06004475
-0.4654955,0.4517367,0.3385279,0.003265263
0.08540855,-0.03889055,0.1300209,-0.08977966
-0.4099125,0.1676628,-0.004364112,-0.008548138
-0.3126712,-0.1366379,0.09275441,0.06721217
-0.3216797,0.1168137,-0.0944232,-0.1107153
-0.3819073,0.1795521,0.210855,0.09929408
-0.9431588,0.1793725,-0.1363274,0.02797264
-1.112411,0.1479516,-0.091429,0.09911835
-0.6095416,0.211273,0.1526257,-0.07446524
-0.04965963,0.2599104,0.2600904,0.07165386
-0.122396,0.172822,0.3619815,0.1456877
-0.008628426,-0.1313803,-0.1262048,-0.09888818
-0.5404775,-0.08733607,0.01352008,0.2084995
-0.7984111,0.05795049,0.07576297,0.02244782
-0.8442752,0.4169569,0.2050926,0.104376
-1.065359,-0.08633578,0.3574999,-0.02767709
-0.6982088,0.4197886,0.1789723,0.03752077
-0.7704338,0.1588165,0.1132401,0.1114228
-0.3676909,-0.1434918,0.08841593,0.01181097
-0.6330807,0.0492295,0.2910856,0.1777887
-1.084918,-0.08272978,0.2843349,0.1834327
-0.9265974,0.3629223,0.1888113,0.08758645
-1.056404,-0.02270351,0.2101942,-0.1924747
-0.3139347,0.2817046,0.0976223,-0.07991349
-0.7264085,0.5383212,-0.02269572,-0.06648003
-0.4055134,0.03089182,0.01742574,0.05467787
-0.3834878,0.3475911,0.2301542,0.1959094
-1.214524,-0.06389878,-0.0217397,0.2147817
-1.113851,0.2415553,0.3882245,-0.0666676
-0.4071212,0.28614,0.2632402,-0.2255757
-0.1794249,0.4210118,0.3937854,-0.02250411
-1.176048,-0.02439934,0.1508314,0.1514815
-0.4710196,0.1804278,0.1279936,0.0991126
-0.49284,0.4077421,-0.06861863,-0.04675141
0.03809053,-0.0803253,0.4105407,0.1830943
-0.769999,-0.1470865,0.008806853,0.1877279
-0.6915537,0.3445334,0.3106335,0.2345077
0.07883468,0.2955821,0.01115856,0.2296286
0.0159653,-0.1157546,0.3881822,0.1402107
-0.119777,0.4425957,0.3995622,-0.06501743
0.07081619,0.1106611,0.2618297,0.03493265
0.1044969,0.169213,0.1456744,-0.1267489
0.05916009,-0.148447,0.3186085,0.2389929
-0.8303921,0.3008396,0.09794609,-0.04631806
-1.148674,0.1644178,0.07186332,0.03432972
-0.544075,0.08472698,0.08043153,-0.1955836
-0.08448866,0.06316495,0.04595434,0.2269236
-0.5541686,0.5141122,0.2927288,0.01504236
-1.074207,0.3276079,-0.04987489,-0.01867554
0.07167966,-0.06301136,0.353411,0.07281321
-0.8635382,-0.100028,0.325345,0.08999938
0.09606653,0.1603755,0.3520086,0.1417356
-0.3578872,0.4713967,-0.08087855,0.09657755
0.1262093,0.2423533,-0.07587392,-0.07656749
-0.78276,0.2210804,0.3249593,-0.003926786
-1.094589,-0.1496863,-0.07736609,-0.1022403
-0.1633228,0.3457825,-0.08380482,0.08662991
-0.6449026,0.3902803,0.3809906,-0.1404422
-0.6065527,-0.008339083,0.3883522,-0.1675598
0.1037256,0.3859062,0.4051869,0.04633881
-0.1691549,0.4692825,0.1420714,-0.01489484
-0.9381547,0.1936255,0.1357749,-0.1456768
-0.794433,-0.1158714,0.03903282,-0.1381475
-1.157574,0.06343821,0.4267623,-0.07064406
-0.8475728,0.005583327,0.2308857,0.02251123
-1.196526,0.5119762,0.411794,-0.2029747
-0.1318868,-0.07921325,-0.02221482,0.02548285
-0.6236261,-0.03947938,-0.08141967,-0.03081006
-0.2718698,0.2993295,0.2636948,-0.1317828
-0.9866845,0.2835015,0.106845,0.07542439
-0.3081776,0.2863379,-0.08307078,0.2218521
-0.2272896,0.2261671,0.1711082,-0.04684967
-1.048842,0.02618617,-0.08139688,0.191457
-0.6249685,0.4969792,0.02711207,-0.1434501
0.02572241,-0.06577942,0.3502845,-0.1046086
0.02486757,0.2996878,-0.09454648,0.1709496
-0.180808,-0.111332,0.3357492,-0.08010354
-0.1964642,0.291363,0.2336454,-0.2058809
-0.9165599,0.173945,0.4201529,-0.020343
-0.2810004,0.1811544,0.3640829,-0.1852161
-0.3140055,0.3975552,0.2200415,0.2436067
-0.163132,0.2561509,0.1352711,0.2177947
-0.7023531,0.1524767,0.3024519,0.1884407
-0.9297223,0.4162674,0.0900334,0.09778092
-0.2764396,0.04949928,0.1239001,0.01240521
-0.237896,0.06273189,-0.1217377,-0.1700958
-1.232692,0.3474987,0.1247706,-0.1909703
-1.007557,0.3809849,0.2609772,0.237333
-1.145629,0.1067426,0.09184829,-0.1736306
-0.1088084,0.2975737,0.2181502,0.1465002
0.135468,0.4979123,0.3821503,-0.06851249
-0.601031,0.4835714,0.1678901,0.2423001
-0.30945,0.02909261,-0.1066836,0.2156416
-0.3938716,0.2951955,0.4348382,0.06106417
-0.250036,0.268423,0.107008,-0.1238538
-0.1845763,0.129068,0.4477586,-0.05283088
-0.6640636,0.3483555,-0.108519,0.1075634
-0.274269,-0.1388949,0.08900897,0.115959
-0.1419185,0.3739291,0.1776586,0.02275842
-0.5393845,0.177053,0.4001366,0.03836383
-0.7792374,0.4600338,0.3642964,-0.2441295
-0.5397561,0.1378682,0.2544205,0.04642521
-0.8402847,0.545072,-0.1447281,0.1157653
-0.239678,-0.08664417,-0.06212731,0.1922529
-1.026223,0.2200022,0.3343431,-0.1665415
-0.6182262,0.4650358,0.2552381,-0.02642734
-1.192933,0.4474683,0.3391679,0.1462669
-0.8816835,0.4232281,0.1420107,-0.15967
-0.4350692,0.3282625,0.3016182,0.0592114
-0.06005404,0.219791,-0.07000065,0.2374043
-0.7523063,0.54583,0.03333012,0.01896021
-1.093565,0.4782719,0.4136788,-0.04885137
-0.406952,-0.09797957,0.04759461,0.2287862
-0.4835865,0.1303404,0.3708576,-0.1207137
-0.7460001,0.01593934,-0.005331452,-0.1717415
-0.09380764,0.260103,0.2878098,-0.1235789
-0.05449545,0.444475,0.1568959,0.04729652
-0.2468512,0.2243692,0.2592343,0.1510956
-0.4615889,0.2908972,-0.1332626,0.2449434
-0.1425594,-0.08309542,0.4387465,0.1368911
-0.1441479,0.09063875,0.1223335,-0.2374147
-0.008232171,-0.07852847,0.1158528,0.1853996
-0.9501743,-0.05469141,0.05564919,-0.1781701
-0.5577384,-0.02786498,0.1398542,0.05543377
0.1115396,0.03917677,0.3116207,0.0439525
0.1379686,0.05623327,0.277957,0.2075999
-0.7426617,0.291732,0.04237693,-0.136809
-0.3445429,0.4957835,0.3611655,-0.1000477
-0.1404515,-0.04065883,0.1220769,-0.03533375
0.107794,-0.02160101,0.2031666,0.2067621
-1.152122,0.2494034,-0.05592707,-0.08407876
-1.004005,-0.1239782,0.1625429,0.1921179
-0.3124571,0.2364993,0.0130667,0.01373619
-0.2305076,0.04840015,0.3763221,-0.2333896
0.0674698,-0.1001338,-0.1010688,-0.1499034
-0.2629547,0.3051826,0.09423012,0.08521653
-0.7341873,0.3429527,-0.1127504,-0.09737473
-0.6333922,-0.130704,0.01378079,0.2290473
-1.004806,0.06935571,0.3650674,-0.2020901
-0.7874341,0.4854611,0.1440644,0.04414169
-0.4769586,0.3156559,0.3324969,0.1774742
-0.8156791,0.1802761,0.1734182,-0.004380402
-0.1141929,-0.009594863,-0.02306266,0.1894583
-0.7789176,0.360247,-0.03422705,0.1146295
0.07246357,0.5122122,0.4458786,0.06508526
-1.219066,0.4691041,-0.04772348,-0.1529781
-1.165944,0.08355578,0.09966343,-0.2178783
-0.6836982,0.02177688,0.4303993,0.0449892
-0.9282632,0.3297788,0.3394548,-0.06049674
0.06772686,-0.1035264,-0.02155029,-0.2238921
-0.7344038,0.2252943,0.07671645,-0.1973103
-0.8582972,0.2595313,0.3856584,0.2174897
0.02137133,-0.02402444,-0.07287995,-0.07752332
-0.5235862,0.1334629,0.3649611,-0.05508394
-0.4457897,0.4585791,0.2118447,-0.159603
-0.6872852,0.1996125,0.02912245,0.1284158
-0.534978,-0.1295926,0.2212171,0.1349706
-0.9353704,0.2327608,-0.01581762,0.01219826
0.005154508,0.3482835,0.2570278,0.2457228
-0.5345945,0.2725871,-0.04259912,0.004079043
-0.2340116,-0.02184253,-0.07145536,0.2391048
-0.8682711,0.01086521,-0.0979561,-0.0477895
-1.06442,0.4598747,0.3455677,-0.1331217
-0.3006182,0.3043602,0.3500924,0.05048409
-0.4088167,0.07920816,0.3263029,0.1653158
-0.4376556,0.4122882,-0.06617446,0.1848364
-0.8428641,-0.09697773,-0.08440685,-0.01149671
-1.15213,0.1611495,-0.04153762,0.1234129
-0.5844839,0.352599,0.1819549,0.01888699
-1.038645,0.3123999,0.1077148,-0.02558574
-0.7831534,0.4694376,0.2333852,0.0926827
0.1277932,0.04173066,0.3690693,-0.03862286
-0.1470614,0.4581825,-0.125949,0.1301428
0.09659788,-0.04330835,0.0241022,-0.2038162
-0.2342508,0.4100289,-0.009170075,0.1098002
0.1167317,-0.05568553,-0.1031044,0.1320466
0.002757445,0.2696477,0.0604154,-0.1635627
-0.757976,0.5233164,0.04436926,-0.05483921
-0.08764456,0.4282457,-0.0528183,-0.007490126
-0.0232993,0.04509421,0.4162085,0.236157
-0.236863,0.3203551,0.2406285,-0.1142511
-0.8365877,-0.07430015,0.0134001,0.2429057
-0.3652932,0.3705728,0.2216101,0.03512754
0.08647641,-0.009516709,0.4137428,-0.1045476
-1.184277,0.1230478,0.4162817,-0.06130258
-0.7795476,0.4965009,0.1268364,-0.09597762
0.04947897,0.5133487,0.1594864,0.1317771
-0.9312186,-0.000873405,0.07173674,0.01100625
-0.782172,0.4502975,-0.003166198,-0.2188081
-0.4663036,-0.1063999,0.3226129,-0.06709206
-0.8355041,0.2853802,0.4368816,0.03359301
-0.9780296,0.06378315,-0.08742784,-0.09719256
-0.4763542,0.04199542,-0.1376633,-0.1319469
-0.4597713,0.1973726,0.4083521,-0.1036342
-0.8677205,0.04252502,0.04147966,-0.2499751
0.04931362,0.01005232,0.3681398,0.1380587
-1.05893,-0.07919379,0.2180739,0.1065168
-0.4087749,-0.1351659,0.2336986,0.221267
-0.9474628,0.5454835,0.2101415,-0.004774041
-0.5498068,0.09673569,-0.1320738,-0.04690355
-0.8150858,0.0973398,0.04205578,0.1902177
-1.139763,0.4919992,-0.0244304,0.1404781
0.04903141,0.15823,0.09965982,-0.004989702
-0.4749389,-0.08334027,-0.06920656,0.01661292
-1.134254,0.2390694,0.1291899,-0.1839465
-0.3564413,0.06114139,0.2937795,0.2324956
-0.6503633,0.1580809,0.09442846,0.1073562
-0.2665228,0.4330182,0.2346414,0.01591732
-0.685304,0.4965654,0.2947349,-0.08292204
-0.709769,0.1147037,-0.1220896,-0.04054539
-0.5406188,-0.04270279,0.4114333,0.2227852
-1.192973,0.02123303,-0.002425997,-0.2321879
0.08845791,-0.1447402,0.1273497,-0.04043936
-0.7526718,0.1340887,-0.1339334,-0.0956235
0.1239066,0.3938504,0.06501846,0.2415155
-0.2814454,0.5323203,0.3206892,0.2465147
0.05971189,0.4087984,-0.03404209,0.1967753
-0.2404409,-0.05724453,0.003714803,-0.04526631
-0.8621504,0.3999695,0.3661736,0.198686
-0.6768105,0.1127434,0.2609965,0.1422273
-0.9090303,0.4532662,0.08057965,0.1592905
-0.7262662,-0.01468927,-0.0294269,-0.03275143
-1.10422,-0.1316853,0.08923153,-0.1887409
-0.3074306,0.1929693,0.2782609,-0.009790137
-1.139331,0.5449882,0.068924,0.09294924
-0.2860153,0.2944086,0.04025835,0.1130013
-1.056508,-0.05403309,-0.1110291,-0.06963634
-0.5710596,0.1316701,0.01034213,-0.09816068
0.09592097,0.05885877,0.3380451,0.00969868
0.06364181,0.1052498,0.05650878,0.1807083
-0.5683529,0.4168511,0.01425571,0.01865249
-1.057523,0.1656016,0.3960312,-0.04736022
-0.8698378,0.3596276,0.04688272,-0.2390283
-0.1353617,0.4202889,-0.02696607,-0.2011595
-1.031063,0.04447396,0.4004038,0.130867
-0.4300615,0.1337814,0.2259352,-0.08541173
-0.4433715,0.1467465,0.1425051,0.1161221
-0.1809554,-0.1334761,0.1178196,0.03846478
-1.182268,-0.04078981,0.2156834,0.09739201
-0.6486274,0.4331879,-0.09622658,0.2335522
0.07866737,0.3014598,-0.02669473,0.1406203
-0.3492344,0.3727727,-0.1172619,0.02359892
-0.4484486,0.4275762,0.1988495,0.08750976
-0.04025671,0.2748495,-0.08612244,0.1017308
-0.03418916,-0.008303146,0.3702928,-0.2341594
0.1032818,-0.03513445,-0.06013152,-0.1684335
-0.802063,0.276608,0.1970252,0.04604267
-0.4669184,0.3750257,0.4174687,0.08147732
0.128525,0.1755176,0.107336,-0.0177307
-0.7216606,0.4520151,-0.1336575,-0.09238962
-0.08883139,0.1739527,-0.01071463,-0.1797867
-0.8743518,0.3343022,0.2414965,-0.05357867
-1.032344,0.2562063,0.2926884,-0.242371
-0.4675101,0.08099212,-0.1059078,-0.01366959
0.03348809,0.1186054,-0.07964057,0.02172924
-0.3835429,-0.1082991,-0.07477304,0.2360446
-1.2368,0.5284569,0.3785912,0.2471858
-0.9932222,0.5003337,0.04769921,-0.1246457
0.1417231,0.306809,0.3838278,-0.02460979
-0.1999967,-0.05480957,0.258152,0.09518606
0.1224104,0.06741354,0.1671625,0.2141484
-0.8096402,0.4372386,0.3488799,0.1768173
0.0692349,0.04950274,0.3356855,0.227004
-0.2699218,0.5489304,-0.1386165,-0.109756
-0.5908983,0.549777,0.1149984,-0.2466638
-0.3565888,-0.09380373,0.07086895,-0.05180544
-0.1032829,-0.01244807,0.1279178,0.01420124
-0.6502604,-0.09576883,0.2372549,0.05816418
-0.9100807,0.2419354,0.007129992,-0.1866599
-1.245303,-0.02569038,0.057515,-0.03261095
0.1349749,0.2859249,0.3058933,-0.1882289
-0.8506791,0.2993477,-0.1115995,-0.02529213
-0.01419859,0.3588523,0.04842018,-0.1657246
-0.7208336,0.492283,0.3754477,0.1762474
-0.1604082,-0.05810068,0.3886939,-0.0210409
-0.7169175,0.3714068,0.382936,0.218871
0.1395984,0.4042748,-0.08287521,-0.01722735
-0.06538052,0.2285031,0.1612822,0.2090918
-0.7096154,-0.09471434,0.4344156,-0.01929157
0.1019876,0.1670537,-0.04806014,-0.1239862
-0.3062354,0.1225855,0.1634354,0.1225404
-0.4462288,0.4918778,-0.1018121,0.2087135
-1.067318,-0.119413,0.144436,0.1959877
-0.3691232,0.4549052,0.1108742,-0.08406098
-0.5868661,0.1801657,0.1583844,0.2367769
-0.4538747,0.2227938,-0.08730003,0.1288901
-1.151052,0.07998544,0.1886193,-0.2347048
-1.249518,0.3204393,-0.1420922,-0.0751284
